Sample_name,Dataset,Complete,Single,Duplicated,Fragmented,Missing,n_markers,Scores_bacteria_odb10,Scores_archaea_odb10,Scores_eukaryota_odb10
results_lake_bins/11m_196,archaea_odb10,3.1,1,2.1,0.5,96.4,194,"C:1.6%[S:0.8%,D:0.8%],F:1.6%,M:96.8%,n:124","C:3.1%[S:1.0%,D:2.1%],F:0.5%,M:96.4%,n:194","C:0.4%[S:0.0%,D:0.4%],F:0.0%,M:99.6%,n:255"
results_lake_bins/15mm_50,archaea_odb10,1.5,1.5,0,0,98.5,194,"C:0.8%[S:0.8%,D:0.0%],F:0.8%,M:98.4%,n:124","C:1.5%[S:1.5%,D:0.0%],F:0.0%,M:98.5%,n:194","C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:255"
results_lake_bins/13m_6,gammaproteobacteria_odb10,94.6,93.2,1.4,1.4,4,366,"C:94.4%[S:94.4%,D:0.0%],F:1.6%,M:4.0%,n:124","C:17.5%[S:17.5%,D:0.0%],F:6.7%,M:75.8%,n:194","C:3.1%[S:2.7%,D:0.4%],F:1.6%,M:95.3%,n:255"
results_lake_bins/5m_116,bacteria_odb10,99.2,9.7,89.5,0.8,0,124,"C:99.2%[S:9.7%,D:89.5%],F:0.8%,M:0.0%,n:124","C:20.6%[S:3.1%,D:17.5%],F:3.1%,M:76.3%,n:194","C:5.1%[S:1.6%,D:3.5%],F:2.4%,M:92.5%,n:255"
results_lake_bins/13m_88,bacteria_odb10,24.2,20.2,4,15.3,60.5,124,"C:24.2%[S:20.2%,D:4.0%],F:15.3%,M:60.5%,n:124","C:5.1%[S:4.6%,D:0.5%],F:2.1%,M:92.8%,n:194","C:2.4%[S:2.4%,D:0.0%],F:2.0%,M:95.6%,n:255"
results_lake_bins/11m_161,bacteria_odb10,4.8,4.8,0,1.6,93.6,124,"C:4.8%[S:4.8%,D:0.0%],F:1.6%,M:93.6%,n:124","C:1.5%[S:1.5%,D:0.0%],F:1.5%,M:97.0%,n:194","C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:255"
results_lake_bins/5m_69,alphaproteobacteria_odb10,98.6,95.8,2.8,0.9,0.5,432,"C:98.4%[S:97.6%,D:0.8%],F:1.6%,M:0.0%,n:124","C:17.5%[S:17.0%,D:0.5%],F:3.1%,M:79.4%,n:194","C:5.9%[S:5.5%,D:0.4%],F:2.7%,M:91.4%,n:255"
results_lake_bins/15mw_98,bacteria_odb10,97.6,10.5,87.1,2.4,0,124,"C:97.6%[S:10.5%,D:87.1%],F:2.4%,M:0.0%,n:124","C:21.7%[S:5.7%,D:16.0%],F:4.1%,M:74.2%,n:194","C:4.3%[S:1.2%,D:3.1%],F:2.0%,M:93.7%,n:255"
results_lake_bins/9m_5,bacteria_odb10,11.3,10.5,0.8,8.1,80.6,124,"C:11.3%[S:10.5%,D:0.8%],F:8.1%,M:80.6%,n:124","C:5.6%[S:4.6%,D:1.0%],F:1.0%,M:93.4%,n:194","C:1.2%[S:1.2%,D:0.0%],F:0.0%,M:98.8%,n:255"
results_lake_bins/15_5m_32,bacteria_odb10,51.6,51.6,0,8.1,40.3,124,"C:51.6%[S:51.6%,D:0.0%],F:8.1%,M:40.3%,n:124","C:13.9%[S:13.9%,D:0.0%],F:3.1%,M:83.0%,n:194","C:3.1%[S:3.1%,D:0.0%],F:2.7%,M:94.2%,n:255"
results_lake_bins/15_5m_153,bacteria_odb10,69.3,51.6,17.7,14.5,16.2,124,"C:69.3%[S:51.6%,D:17.7%],F:14.5%,M:16.2%,n:124","C:10.3%[S:7.2%,D:3.1%],F:7.2%,M:82.5%,n:194","C:2.0%[S:1.6%,D:0.4%],F:2.0%,M:96.0%,n:255"
results_lake_bins/15mw_30,mollicutes_odb10,12.6,11.9,0.7,6.6,80.8,151,"C:16.1%[S:15.3%,D:0.8%],F:16.1%,M:67.8%,n:124","C:0.5%[S:0.5%,D:0.0%],F:0.0%,M:99.5%,n:194","C:0.4%[S:0.4%,D:0.0%],F:0.4%,M:99.2%,n:255"
results_lake_bins/9m_191,archaea_odb10,0.5,0,0.5,0,99.5,194,"C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:124","C:0.5%[S:0.0%,D:0.5%],F:0.0%,M:99.5%,n:194","C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:255"
results_lake_bins/17m_26,bacteria_odb10,38,31.5,6.5,19.4,42.6,124,"C:38.0%[S:31.5%,D:6.5%],F:19.4%,M:42.6%,n:124","C:9.3%[S:6.7%,D:2.6%],F:5.2%,M:85.5%,n:194","C:2.8%[S:2.0%,D:0.8%],F:2.0%,M:95.2%,n:255"
results_lake_bins/9m_237,archaea_odb10,2.1,2.1,0,0,97.9,194,"C:2.4%[S:2.4%,D:0.0%],F:0.8%,M:96.8%,n:124","C:2.1%[S:2.1%,D:0.0%],F:0.0%,M:97.9%,n:194","C:0.4%[S:0.4%,D:0.0%],F:0.0%,M:99.6%,n:255"
results_lake_bins/15mw_155,bacteria_odb10,68.5,68.5,0,6.5,25,124,"C:68.5%[S:68.5%,D:0.0%],F:6.5%,M:25.0%,n:124","C:17.5%[S:17.5%,D:0.0%],F:5.7%,M:76.8%,n:194","C:4.7%[S:4.7%,D:0.0%],F:1.6%,M:93.7%,n:255"
results_lake_bins/15_5m_202,bacteria_odb10,94.4,22.6,71.8,1.6,4,124,"C:94.4%[S:22.6%,D:71.8%],F:1.6%,M:4.0%,n:124","C:19.5%[S:4.6%,D:14.9%],F:4.6%,M:75.9%,n:194","C:4.3%[S:1.2%,D:3.1%],F:2.7%,M:93.0%,n:255"
results_lake_bins/5m_224,archaea_odb10,0.5,0.5,0,0,99.5,194,"C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:124","C:0.5%[S:0.5%,D:0.0%],F:0.0%,M:99.5%,n:194","C:0.0%[S:0.0%,D:0.0%],F:0.8%,M:99.2%,n:255"
results_lake_bins/13m_43,Check_logs,-,-,-,-,-,-,-,-,-
results_lake_bins/5m_182,bacteria_odb10,96.8,6.5,90.3,0.8,2.4,124,"C:96.8%[S:6.5%,D:90.3%],F:0.8%,M:2.4%,n:124","C:22.7%[S:3.1%,D:19.6%],F:2.6%,M:74.7%,n:194","C:5.1%[S:2.4%,D:2.7%],F:2.4%,M:92.5%,n:255"
results_lake_bins/9m_87,bacteria_odb10,83.9,27.4,56.5,8.1,8,124,"C:83.9%[S:27.4%,D:56.5%],F:8.1%,M:8.0%,n:124","C:11.8%[S:3.6%,D:8.2%],F:3.1%,M:85.1%,n:194","C:3.2%[S:1.2%,D:2.0%],F:1.2%,M:95.6%,n:255"
results_lake_bins/5m_175,archaea_odb10,2.5,1.5,1,1,96.5,194,"C:0.8%[S:0.0%,D:0.8%],F:1.6%,M:97.6%,n:124","C:2.5%[S:1.5%,D:1.0%],F:1.0%,M:96.5%,n:194","C:0.8%[S:0.4%,D:0.4%],F:0.0%,M:99.2%,n:255"
results_lake_bins/9m_70,bacteria_odb10,41.9,41.9,0,20.2,37.9,124,"C:41.9%[S:41.9%,D:0.0%],F:20.2%,M:37.9%,n:124","C:11.3%[S:11.3%,D:0.0%],F:4.1%,M:84.6%,n:194","C:2.0%[S:2.0%,D:0.0%],F:1.6%,M:96.4%,n:255"
results_lake_bins/9m_105,bacteria_odb10,73.4,44.4,29,12.9,13.7,124,"C:73.4%[S:44.4%,D:29.0%],F:12.9%,M:13.7%,n:124","C:13.9%[S:8.2%,D:5.7%],F:4.1%,M:82.0%,n:194","C:2.8%[S:1.2%,D:1.6%],F:1.2%,M:96.0%,n:255"
results_lake_bins/17m_207,bacteria_odb10,95.2,95.2,0,4,0.8,124,"C:95.2%[S:95.2%,D:0.0%],F:4.0%,M:0.8%,n:124","C:22.1%[S:21.6%,D:0.5%],F:2.6%,M:75.3%,n:194","C:4.7%[S:4.7%,D:0.0%],F:2.4%,M:92.9%,n:255"
results_lake_bins/15_5m_51,bacteria_odb10,28.2,28.2,0,22.6,49.2,124,"C:28.2%[S:28.2%,D:0.0%],F:22.6%,M:49.2%,n:124","C:4.1%[S:4.1%,D:0.0%],F:2.1%,M:93.8%,n:194","C:1.6%[S:1.6%,D:0.0%],F:0.4%,M:98.0%,n:255"
results_lake_bins/11m_4,archaea_odb10,2.1,2.1,0,0.5,97.4,194,"C:0.8%[S:0.8%,D:0.0%],F:1.6%,M:97.6%,n:124","C:2.1%[S:2.1%,D:0.0%],F:0.5%,M:97.4%,n:194","C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:255"
results_lake_bins/17m_109,bacteria_odb10,98.3,17.7,80.6,0.8,0.9,124,"C:98.3%[S:17.7%,D:80.6%],F:0.8%,M:0.9%,n:124","C:20.1%[S:6.2%,D:13.9%],F:4.6%,M:75.3%,n:194","C:7.4%[S:4.7%,D:2.7%],F:2.0%,M:90.6%,n:255"
results_lake_bins/15mw_169,bacteria_odb10,72.5,66.9,5.6,12.9,14.6,124,"C:72.5%[S:66.9%,D:5.6%],F:12.9%,M:14.6%,n:124","C:12.3%[S:10.8%,D:1.5%],F:4.6%,M:83.1%,n:194","C:3.9%[S:3.9%,D:0.0%],F:1.6%,M:94.5%,n:255"
results_lake_bins/15mm_150,archaea_odb10,1,1,0,0.5,98.5,194,"C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:124","C:1.0%[S:1.0%,D:0.0%],F:0.5%,M:98.5%,n:194","C:0.4%[S:0.4%,D:0.0%],F:0.4%,M:99.2%,n:255"
results_lake_bins/17m_156,bacteria_odb10,44.4,37.1,7.3,14.5,41.1,124,"C:44.4%[S:37.1%,D:7.3%],F:14.5%,M:41.1%,n:124","C:10.9%[S:8.8%,D:2.1%],F:6.7%,M:82.4%,n:194","C:2.8%[S:2.0%,D:0.8%],F:1.6%,M:95.6%,n:255"
results_lake_bins/15_5m_198,bacteria_odb10,8.9,8.9,0,1.6,89.5,124,"C:8.9%[S:8.9%,D:0.0%],F:1.6%,M:89.5%,n:124","C:0.0%[S:0.0%,D:0.0%],F:0.5%,M:99.5%,n:194","C:0.4%[S:0.4%,D:0.0%],F:0.0%,M:99.6%,n:255"
results_lake_bins/15mw_136,bacteria_odb10,80.6,75.8,4.8,7.3,12.1,124,"C:80.6%[S:75.8%,D:4.8%],F:7.3%,M:12.1%,n:124","C:13.9%[S:12.4%,D:1.5%],F:3.1%,M:83.0%,n:194","C:2.8%[S:2.0%,D:0.8%],F:1.2%,M:96.0%,n:255"
results_lake_bins/15_5m_261,bacteria_odb10,42,33.9,8.1,20.2,37.8,124,"C:42.0%[S:33.9%,D:8.1%],F:20.2%,M:37.8%,n:124","C:6.7%[S:5.7%,D:1.0%],F:5.2%,M:88.1%,n:194","C:3.5%[S:3.1%,D:0.4%],F:0.4%,M:96.1%,n:255"
results_lake_bins/15mm_188,mollicutes_odb10,20.5,17.2,3.3,2,77.5,151,"C:25.8%[S:22.6%,D:3.2%],F:14.5%,M:59.7%,n:124","C:0.5%[S:0.5%,D:0.0%],F:1.0%,M:98.5%,n:194","C:0.0%[S:0.0%,D:0.0%],F:0.8%,M:99.2%,n:255"
results_lake_bins/15_5m_21,bacteria_odb10,99.2,16.1,83.1,0.8,0,124,"C:99.2%[S:16.1%,D:83.1%],F:0.8%,M:0.0%,n:124","C:19.6%[S:3.6%,D:16.0%],F:3.6%,M:76.8%,n:194","C:6.6%[S:2.7%,D:3.9%],F:2.4%,M:91.0%,n:255"
results_lake_bins/5m_25,archaea_odb10,2.5,1,1.5,1,96.5,194,"C:1.6%[S:0.0%,D:1.6%],F:0.8%,M:97.6%,n:124","C:2.5%[S:1.0%,D:1.5%],F:1.0%,M:96.5%,n:194","C:0.4%[S:0.0%,D:0.4%],F:0.0%,M:99.6%,n:255"
results_lake_bins/15_5m_140,bacteria_odb10,89.5,15.3,74.2,4,6.5,124,"C:89.5%[S:15.3%,D:74.2%],F:4.0%,M:6.5%,n:124","C:22.2%[S:8.8%,D:13.4%],F:4.6%,M:73.2%,n:194","C:3.9%[S:0.8%,D:3.1%],F:1.6%,M:94.5%,n:255"
results_lake_bins/9m_182,bacteria_odb10,0.8,0.8,0,1.6,97.6,124,"C:0.8%[S:0.8%,D:0.0%],F:1.6%,M:97.6%,n:124","C:0.5%[S:0.0%,D:0.5%],F:0.5%,M:99.0%,n:194","C:0.4%[S:0.0%,D:0.4%],F:0.0%,M:99.6%,n:255"
results_lake_bins/15_5m_89,bacteria_odb10,59.7,25,34.7,9.7,30.6,124,"C:59.7%[S:25.0%,D:34.7%],F:9.7%,M:30.6%,n:124","C:13.4%[S:6.7%,D:6.7%],F:3.1%,M:83.5%,n:194","C:3.6%[S:2.0%,D:1.6%],F:2.4%,M:94.0%,n:255"
results_lake_bins/9m_224,bacteria_odb10,35.5,35.5,0,16.9,47.6,124,"C:35.5%[S:35.5%,D:0.0%],F:16.9%,M:47.6%,n:124","C:3.1%[S:3.1%,D:0.0%],F:3.1%,M:93.8%,n:194","C:0.8%[S:0.8%,D:0.0%],F:0.8%,M:98.4%,n:255"
results_lake_bins/15mw_146,bacteria_odb10,72.6,71.8,0.8,16.1,11.3,124,"C:72.6%[S:71.8%,D:0.8%],F:16.1%,M:11.3%,n:124","C:14.4%[S:14.4%,D:0.0%],F:4.6%,M:81.0%,n:194","C:3.1%[S:3.1%,D:0.0%],F:2.4%,M:94.5%,n:255"
results_lake_bins/11m_98,Check_logs,-,-,-,-,-,-,-,-,-
results_lake_bins/5m_105,bacteria_odb10,96,12.9,83.1,1.6,2.4,124,"C:96.0%[S:12.9%,D:83.1%],F:1.6%,M:2.4%,n:124","C:21.2%[S:2.1%,D:19.1%],F:2.6%,M:76.2%,n:194","C:5.1%[S:0.0%,D:5.1%],F:2.0%,M:92.9%,n:255"
results_lake_bins/15mm_0,bacteria_odb10,74.2,29,45.2,8.9,16.9,124,"C:74.2%[S:29.0%,D:45.2%],F:8.9%,M:16.9%,n:124","C:14.4%[S:8.2%,D:6.2%],F:7.2%,M:78.4%,n:194","C:3.9%[S:3.5%,D:0.4%],F:0.8%,M:95.3%,n:255"
results_lake_bins/11m_172,bacteria_odb10,2.4,2.4,0,1.6,96,124,"C:2.4%[S:2.4%,D:0.0%],F:1.6%,M:96.0%,n:124","C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:194","C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:255"
results_lake_bins/17m_131,bacteria_odb10,48.4,45.2,3.2,14.5,37.1,124,"C:48.4%[S:45.2%,D:3.2%],F:14.5%,M:37.1%,n:124","C:7.2%[S:7.2%,D:0.0%],F:6.2%,M:86.6%,n:194","C:2.7%[S:2.7%,D:0.0%],F:2.0%,M:95.3%,n:255"
results_lake_bins/15_5m_206,bacteria_odb10,0.8,0.8,0,8.1,91.1,124,"C:0.8%[S:0.8%,D:0.0%],F:8.1%,M:91.1%,n:124","C:0.5%[S:0.5%,D:0.0%],F:2.1%,M:97.4%,n:194","C:0.4%[S:0.4%,D:0.0%],F:3.5%,M:96.1%,n:255"
results_lake_bins/15mm_168,bacteria_odb10,57.2,52.4,4.8,10.5,32.3,124,"C:57.2%[S:52.4%,D:4.8%],F:10.5%,M:32.3%,n:124","C:8.7%[S:8.2%,D:0.5%],F:1.5%,M:89.8%,n:194","C:1.2%[S:1.2%,D:0.0%],F:0.4%,M:98.4%,n:255"
results_lake_bins/9m_195,archaea_odb10,1,0.5,0.5,0,99,194,"C:0.8%[S:0.0%,D:0.8%],F:0.0%,M:99.2%,n:124","C:1.0%[S:0.5%,D:0.5%],F:0.0%,M:99.0%,n:194","C:0.4%[S:0.0%,D:0.4%],F:0.0%,M:99.6%,n:255"
results_lake_bins/15mm_137,burkholderiales_odb10,97.3,37.4,59.9,1,1.7,688,"C:97.5%[S:41.9%,D:55.6%],F:1.6%,M:0.9%,n:124","C:16.5%[S:5.7%,D:10.8%],F:3.6%,M:79.9%,n:194","C:6.7%[S:4.3%,D:2.4%],F:2.7%,M:90.6%,n:255"
results_lake_bins/9m_1,bacteria_odb10,87.9,39.5,48.4,4.8,7.3,124,"C:87.9%[S:39.5%,D:48.4%],F:4.8%,M:7.3%,n:124","C:15.5%[S:8.8%,D:6.7%],F:4.6%,M:79.9%,n:194","C:2.8%[S:0.8%,D:2.0%],F:2.7%,M:94.5%,n:255"
results_lake_bins/15mm_239,bacteria_odb10,39.5,37.9,1.6,18.5,42,124,"C:39.5%[S:37.9%,D:1.6%],F:18.5%,M:42.0%,n:124","C:6.2%[S:6.2%,D:0.0%],F:4.1%,M:89.7%,n:194","C:0.4%[S:0.4%,D:0.0%],F:0.8%,M:98.8%,n:255"
results_lake_bins/15_5m_69,archaea_odb10,3.6,3.1,0.5,0.5,95.9,194,"C:4.0%[S:4.0%,D:0.0%],F:2.4%,M:93.6%,n:124","C:3.6%[S:3.1%,D:0.5%],F:0.5%,M:95.9%,n:194","C:0.8%[S:0.4%,D:0.4%],F:0.4%,M:98.8%,n:255"
results_lake_bins/15_5m_108,bacteria_odb10,25.8,23.4,2.4,16.9,57.3,124,"C:25.8%[S:23.4%,D:2.4%],F:16.9%,M:57.3%,n:124","C:5.1%[S:4.6%,D:0.5%],F:4.6%,M:90.3%,n:194","C:1.6%[S:1.6%,D:0.0%],F:1.6%,M:96.8%,n:255"
results_lake_bins/11m_78,eukaryota_odb10,0.8,0.8,0,0.8,98.4,255,"C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:124","C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:194","C:0.8%[S:0.8%,D:0.0%],F:0.8%,M:98.4%,n:255"
results_lake_bins/11m_165,bacteria_odb10,99.2,8.9,90.3,0,0.8,124,"C:99.2%[S:8.9%,D:90.3%],F:0.0%,M:0.8%,n:124","C:19.6%[S:2.6%,D:17.0%],F:1.5%,M:78.9%,n:194","C:6.7%[S:1.6%,D:5.1%],F:2.0%,M:91.3%,n:255"
results_lake_bins/9m_48,archaea_odb10,3.6,2.1,1.5,0,96.4,194,"C:3.2%[S:1.6%,D:1.6%],F:0.8%,M:96.0%,n:124","C:3.6%[S:2.1%,D:1.5%],F:0.0%,M:96.4%,n:194","C:1.6%[S:1.6%,D:0.0%],F:0.0%,M:98.4%,n:255"
results_lake_bins/5m_112,bacteria_odb10,23.4,22.6,0.8,10.5,66.1,124,"C:23.4%[S:22.6%,D:0.8%],F:10.5%,M:66.1%,n:124","C:2.6%[S:2.6%,D:0.0%],F:4.6%,M:92.8%,n:194","C:0.8%[S:0.8%,D:0.0%],F:0.4%,M:98.8%,n:255"
results_lake_bins/13m_2,bacteria_odb10,2.4,2.4,0,1.6,96,124,"C:2.4%[S:2.4%,D:0.0%],F:1.6%,M:96.0%,n:124","C:0.0%[S:0.0%,D:0.0%],F:0.5%,M:99.5%,n:194","C:0.4%[S:0.4%,D:0.0%],F:0.0%,M:99.6%,n:255"
results_lake_bins/9m_17,bacteria_odb10,0.8,0.8,0,0.8,98.4,124,"C:0.8%[S:0.8%,D:0.0%],F:0.8%,M:98.4%,n:124","C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:194","C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:255"
results_lake_bins/15mm_54,bacteria_odb10,37.9,27.4,10.5,27.4,34.7,124,"C:37.9%[S:27.4%,D:10.5%],F:27.4%,M:34.7%,n:124","C:18.6%[S:16.5%,D:2.1%],F:7.7%,M:73.7%,n:194","C:3.5%[S:3.5%,D:0.0%],F:3.1%,M:93.4%,n:255"
results_lake_bins/5m_243,bacteria_odb10,100,3.2,96.8,0,0,124,"C:100.0%[S:3.2%,D:96.8%],F:0.0%,M:0.0%,n:124","C:19.1%[S:0.5%,D:18.6%],F:5.2%,M:75.7%,n:194","C:4.7%[S:0.8%,D:3.9%],F:2.0%,M:93.3%,n:255"
results_lake_bins/11m_115,bacteria_odb10,0,0,0,0.8,99.2,124,"C:0.0%[S:0.0%,D:0.0%],F:0.8%,M:99.2%,n:124","C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:194","C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:255"
results_lake_bins/5m_162,xanthomonadales_odb10,49.1,49,0.1,8.2,42.7,1152,"C:43.5%[S:43.5%,D:0.0%],F:16.9%,M:39.6%,n:124","C:10.8%[S:10.3%,D:0.5%],F:3.6%,M:85.6%,n:194","C:2.0%[S:2.0%,D:0.0%],F:0.4%,M:97.6%,n:255"
results_lake_bins/11m_57,bacteria_odb10,74.2,48.4,25.8,9.7,16.1,124,"C:74.2%[S:48.4%,D:25.8%],F:9.7%,M:16.1%,n:124","C:13.9%[S:6.7%,D:7.2%],F:4.1%,M:82.0%,n:194","C:3.2%[S:0.8%,D:2.4%],F:1.6%,M:95.2%,n:255"
results_lake_bins/9m_67,bacteria_odb10,0,0,0,0.8,99.2,124,"C:0.0%[S:0.0%,D:0.0%],F:0.8%,M:99.2%,n:124","C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:194","C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:255"
results_lake_bins/5m_195,archaea_odb10,4.1,1,3.1,1,94.9,194,"C:2.4%[S:0.8%,D:1.6%],F:0.8%,M:96.8%,n:124","C:4.1%[S:1.0%,D:3.1%],F:1.0%,M:94.9%,n:194","C:0.8%[S:0.8%,D:0.0%],F:0.0%,M:99.2%,n:255"
results_lake_bins/9m_90,bacteria_odb10,100,13.7,86.3,0,0,124,"C:100.0%[S:13.7%,D:86.3%],F:0.0%,M:0.0%,n:124","C:18.6%[S:6.2%,D:12.4%],F:4.6%,M:76.8%,n:194","C:5.1%[S:2.0%,D:3.1%],F:2.0%,M:92.9%,n:255"
results_lake_bins/15mm_24,bacteria_odb10,85.5,50,35.5,6.5,8,124,"C:85.5%[S:50.0%,D:35.5%],F:6.5%,M:8.0%,n:124","C:15.0%[S:9.8%,D:5.2%],F:4.1%,M:80.9%,n:194","C:3.1%[S:2.7%,D:0.4%],F:2.4%,M:94.5%,n:255"
results_lake_bins/5m_233,burkholderiales_odb10,81.3,33.3,48,10.6,8.1,688,"C:77.4%[S:33.9%,D:43.5%],F:15.3%,M:7.3%,n:124","C:12.9%[S:6.2%,D:6.7%],F:5.2%,M:81.9%,n:194","C:5.5%[S:3.9%,D:1.6%],F:2.7%,M:91.8%,n:255"
results_lake_bins/9m_243,chlorophyta_odb10,83.1,81.6,1.5,2.5,14.4,1519,"C:21.8%[S:19.4%,D:2.4%],F:36.3%,M:41.9%,n:124","C:9.2%[S:8.2%,D:1.0%],F:27.3%,M:63.5%,n:194","C:72.2%[S:71.0%,D:1.2%],F:11.4%,M:16.4%,n:255"
results_lake_bins/17m_52,bacteria_odb10,18.5,17.7,0.8,18.5,63,124,"C:18.5%[S:17.7%,D:0.8%],F:18.5%,M:63.0%,n:124","C:2.6%[S:2.6%,D:0.0%],F:3.6%,M:93.8%,n:194","C:0.8%[S:0.8%,D:0.0%],F:2.0%,M:97.2%,n:255"
results_lake_bins/15mw_121,bacteria_odb10,63.7,29,34.7,15.3,21,124,"C:63.7%[S:29.0%,D:34.7%],F:15.3%,M:21.0%,n:124","C:12.3%[S:7.7%,D:4.6%],F:4.6%,M:83.1%,n:194","C:2.8%[S:2.0%,D:0.8%],F:2.4%,M:94.8%,n:255"
results_lake_bins/15_5m_276,archaea_odb10,2.6,2.6,0,0.5,96.9,194,"C:3.2%[S:2.4%,D:0.8%],F:0.8%,M:96.0%,n:124","C:2.6%[S:2.6%,D:0.0%],F:0.5%,M:96.9%,n:194","C:0.4%[S:0.4%,D:0.0%],F:0.0%,M:99.6%,n:255"
results_lake_bins/15_5m_8,bacteria_odb10,86.3,85.5,0.8,5.6,8.1,124,"C:86.3%[S:85.5%,D:0.8%],F:5.6%,M:8.1%,n:124","C:17.5%[S:17.5%,D:0.0%],F:4.1%,M:78.4%,n:194","C:2.4%[S:2.4%,D:0.0%],F:1.2%,M:96.4%,n:255"
results_lake_bins/15mw_44,chlorobi_odb10,80,79.7,0.3,5,15,1160,"C:75.8%[S:75.8%,D:0.0%],F:12.9%,M:11.3%,n:124","C:16.5%[S:15.5%,D:1.0%],F:2.6%,M:80.9%,n:194","C:3.1%[S:3.1%,D:0.0%],F:2.0%,M:94.9%,n:255"
results_lake_bins/5m_42,bacteria_odb10,0.8,0.8,0,0,99.2,124,"C:0.8%[S:0.8%,D:0.0%],F:0.0%,M:99.2%,n:124","C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:194","C:0.0%[S:0.0%,D:0.0%],F:0.4%,M:99.6%,n:255"
results_lake_bins/15_5m_46,alphaproteobacteria_odb10,95.8,95.6,0.2,2.3,1.9,432,"C:99.2%[S:99.2%,D:0.0%],F:0.0%,M:0.8%,n:124","C:15.5%[S:15.5%,D:0.0%],F:4.6%,M:79.9%,n:194","C:6.3%[S:6.3%,D:0.0%],F:0.8%,M:92.9%,n:255"
results_lake_bins/17m_210,sphingobacteriia_odb10,44.6,37.4,7.2,3.3,52.1,1068,"C:75.0%[S:55.6%,D:19.4%],F:12.1%,M:12.9%,n:124","C:10.3%[S:9.8%,D:0.5%],F:4.6%,M:85.1%,n:194","C:2.4%[S:2.4%,D:0.0%],F:2.4%,M:95.2%,n:255"
results_lake_bins/15mw_189,burkholderiales_odb10,99.1,46.5,52.6,0.3,0.6,688,"C:98.3%[S:55.6%,D:42.7%],F:1.6%,M:0.1%,n:124","C:18.5%[S:11.3%,D:7.2%],F:2.6%,M:78.9%,n:194","C:6.3%[S:3.9%,D:2.4%],F:2.4%,M:91.3%,n:255"
results_lake_bins/15_5m_19,bacteria_odb10,68.6,59.7,8.9,1.6,29.8,124,"C:68.6%[S:59.7%,D:8.9%],F:1.6%,M:29.8%,n:124","C:15.4%[S:14.9%,D:0.5%],F:7.2%,M:77.4%,n:194","C:3.2%[S:2.4%,D:0.8%],F:1.6%,M:95.2%,n:255"
results_lake_bins/15_5m_178,bacteria_odb10,21,21,0,11.3,67.7,124,"C:21.0%[S:21.0%,D:0.0%],F:11.3%,M:67.7%,n:124","C:6.2%[S:5.7%,D:0.5%],F:3.1%,M:90.7%,n:194","C:0.8%[S:0.8%,D:0.0%],F:1.2%,M:98.0%,n:255"
results_lake_bins/15_5m_281,bacteria_odb10,100,3.2,96.8,0,0,124,"C:100.0%[S:3.2%,D:96.8%],F:0.0%,M:0.0%,n:124","C:25.8%[S:2.1%,D:23.7%],F:3.1%,M:71.1%,n:194","C:6.3%[S:2.4%,D:3.9%],F:2.0%,M:91.7%,n:255"
results_lake_bins/15mm_216,bacteria_odb10,0.8,0.8,0,1.6,97.6,124,"C:0.8%[S:0.8%,D:0.0%],F:1.6%,M:97.6%,n:124","C:0.5%[S:0.5%,D:0.0%],F:0.0%,M:99.5%,n:194","C:0.4%[S:0.4%,D:0.0%],F:0.0%,M:99.6%,n:255"
results_lake_bins/5m_232,bacteria_odb10,0,0,0,0.8,99.2,124,"C:0.0%[S:0.0%,D:0.0%],F:0.8%,M:99.2%,n:124","C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:194","C:0.0%[S:0.0%,D:0.0%],F:0.4%,M:99.6%,n:255"
results_lake_bins/15mm_25,bacteria_odb10,71.7,30.6,41.1,7.3,21,124,"C:71.7%[S:30.6%,D:41.1%],F:7.3%,M:21.0%,n:124","C:16.0%[S:7.2%,D:8.8%],F:3.6%,M:80.4%,n:194","C:3.2%[S:0.8%,D:2.4%],F:2.0%,M:94.8%,n:255"
