Sample_name,Dataset,Complete,Single,Duplicated,Fragmented,Missing,n_markers,Scores_bacteria_odb10,Scores_archaea_odb10,Scores_eukaryota_odb10
results_lake_bins/5m_88,bacteria_odb10,100,4.8,95.2,0,0,124,"C:100.0%[S:4.8%,D:95.2%],F:0.0%,M:0.0%,n:124","C:20.6%[S:1.5%,D:19.1%],F:4.1%,M:75.3%,n:194","C:5.1%[S:1.6%,D:3.5%],F:2.4%,M:92.5%,n:255"
results_lake_bins/17m_30,bacteria_odb10,18.5,18.5,0,12.9,68.6,124,"C:18.5%[S:18.5%,D:0.0%],F:12.9%,M:68.6%,n:124","C:1.0%[S:1.0%,D:0.0%],F:4.6%,M:94.4%,n:194","C:0.4%[S:0.4%,D:0.0%],F:0.0%,M:99.6%,n:255"
results_lake_bins/9m_221,archaea_odb10,6.7,4.1,2.6,0.5,92.8,194,"C:3.2%[S:1.6%,D:1.6%],F:1.6%,M:95.2%,n:124","C:6.7%[S:4.1%,D:2.6%],F:0.5%,M:92.8%,n:194","C:0.8%[S:0.0%,D:0.8%],F:0.8%,M:98.4%,n:255"
results_lake_bins/17m_123,bacteria_odb10,83.9,25,58.9,4.8,11.3,124,"C:83.9%[S:25.0%,D:58.9%],F:4.8%,M:11.3%,n:124","C:21.2%[S:8.8%,D:12.4%],F:3.6%,M:75.2%,n:194","C:5.5%[S:4.7%,D:0.8%],F:2.4%,M:92.1%,n:255"
results_lake_bins/11m_176,bacteria_odb10,62.9,39.5,23.4,4.8,32.3,124,"C:62.9%[S:39.5%,D:23.4%],F:4.8%,M:32.3%,n:124","C:13.9%[S:11.3%,D:2.6%],F:3.1%,M:83.0%,n:194","C:3.9%[S:3.1%,D:0.8%],F:2.4%,M:93.7%,n:255"
results_lake_bins/5m_5,synechococcales_odb10,97.5,97.2,0.3,1,1.5,788,"C:93.5%[S:93.5%,D:0.0%],F:4.8%,M:1.7%,n:124","C:16.5%[S:15.5%,D:1.0%],F:5.2%,M:78.3%,n:194","C:3.5%[S:3.5%,D:0.0%],F:0.4%,M:96.1%,n:255"
results_lake_bins/11m_129,micrococcales_odb10,84.3,67.4,16.9,4.7,11,537,"C:87.9%[S:79.8%,D:8.1%],F:8.1%,M:4.0%,n:124","C:13.4%[S:11.9%,D:1.5%],F:5.2%,M:81.4%,n:194","C:3.9%[S:3.5%,D:0.4%],F:1.2%,M:94.9%,n:255"
results_lake_bins/13m_37,micrococcales_odb10,76.8,76.2,0.6,7.1,16.1,537,"C:82.3%[S:82.3%,D:0.0%],F:8.9%,M:8.8%,n:124","C:16.0%[S:16.0%,D:0.0%],F:3.6%,M:80.4%,n:194","C:2.7%[S:2.7%,D:0.0%],F:0.4%,M:96.9%,n:255"
results_lake_bins/13m_68,bacteria_odb10,28.2,28.2,0,23.4,48.4,124,"C:28.2%[S:28.2%,D:0.0%],F:23.4%,M:48.4%,n:124","C:5.7%[S:5.2%,D:0.5%],F:2.6%,M:91.7%,n:194","C:1.6%[S:1.6%,D:0.0%],F:1.6%,M:96.8%,n:255"
results_lake_bins/17m_31,stramenopiles_odb10,30,29,1,9,61,100,"C:16.1%[S:16.1%,D:0.0%],F:16.1%,M:67.8%,n:124","C:8.8%[S:8.8%,D:0.0%],F:9.3%,M:81.9%,n:194","C:22.0%[S:22.0%,D:0.0%],F:14.1%,M:63.9%,n:255"
