n_scaffolds	n_contigs	scaf_bp	contig_bp	gap_pct	scaf_N50	scaf_L50	ctg_N50	ctg_L50	scaf_N90	scaf_L90	ctg_N90	ctg_L90	scaf_max	ctg_max	scaf_n_gt50K	scaf_pct_gt50K	gc_avg	gc_std	filename
122837	122837	509248245	509248245	0.000	12563	7894	12563	7894	80617	1474	80617	1474	833626	833626	676	12.346	0.50162	0.15433	/srv/beegfs/scratch/users/s/saini7/assemblies/Anvio.11m.S.contigs.fa
210443	210443	576121733	576121733	0.000	28898	3469	28898	3469	157476	1184	157476	1184	824061	824061	576	9.188	0.44453	0.11341	/srv/beegfs/scratch/users/s/saini7/assemblies/Anvio.13m.S.contigs.fa
232398	232398	889903985	889903985	0.000	25184	6437	25184	6437	157454	1423	157454	1423	650989	650989	1261	12.112	0.46516	0.11140	/srv/beegfs/scratch/users/s/saini7/assemblies/Anvio.15_5m.S.contigs.fa
141011	141011	517569520	517569520	0.000	14976	6242	14976	6242	96530	1364	96530	1364	496250	496250	708	11.699	0.46819	0.11333	/srv/beegfs/scratch/users/s/saini7/assemblies/Anvio.15mm.S.contigs.fa
87929	87929	360167774	360167774	0.000	7659	8393	7659	8393	57465	1417	57465	1417	692186	692186	637	16.048	0.47260	0.11494	/srv/beegfs/scratch/users/s/saini7/assemblies/Anvio.15mw.S.contigs.fa
127341	127341	440829693	440829693	0.000	15041	5271	15041	5271	89243	1345	89243	1345	470025	470025	549	10.022	0.47119	0.10912	/srv/beegfs/scratch/users/s/saini7/assemblies/Anvio.17m.S.contigs.fa
231217	231217	856961129	856961129	0.000	27961	5923	27961	5923	158694	1407	158694	1407	1264111	1264111	962	11.892	0.51519	0.12477	/srv/beegfs/scratch/users/s/saini7/assemblies/Anvio.5m.S.contigs.fa
131647	131647	567540947	567540947	0.000	11941	8574	11941	8574	85010	1501	85010	1501	599871	599871	989	16.361	0.49417	0.12466	/srv/beegfs/scratch/users/s/saini7/assemblies/Anvio.9m.S.contigs.fa
